mean(bx),max(bx),std(bx),min(bx),cv(bx),minmax(bx),mean(by),max(by),std(by),min(by),cv(by),minmax(by),mean(bz),max(bz),std(bz),min(bz),cv(bz),minmax(bz),mean(bt),max(bt),std(bt),min(bt),cv(bt),minmax(bt),mean(vt),max(vt),std(vt),min(vt),cv(vt),minmax(vt),mean(np),max(np),std(np),min(np),cv(np),minmax(np),mean(tp),max(tp),std(tp),min(tp),cv(tp),minmax(tp),Target
1.256962046,4.746978689,1.455618389,-2.564093324,1.158044822,-0.540152693,-2.411759807,5.119826747,2.693174627,-6.252332292,1.116684431,-1.221199974,-0.829431788,4.39256492,2.372013956,-4.627333339,2.859805942,-1.053446773,4.714506023,6.687048758,0.925415409,1.278945298,0.196291065,0.191257062,356.619013,371.6897539,7.81758673,327.6501289,0.021921396,0.881515096,11.00160697,23.88153722,3.88015508,4.676253791,0.352689847,0.195810418,69286.16495,101197.9251,27155.7742,7440.995613,0.39193646,0.073529132,-8.640057844
-3.416264959,-0.653232755,0.909500502,-6.067846285,0.26622657,9.288949828,4.069321207,7.978385005,2.068892059,-1.818224093,0.50841208,-0.227893752,-4.190470779,5.289772452,4.013545537,-8.97856207,0.957779149,-1.697343724,8.108316533,9.858636554,1.123184305,5.402355594,0.138522504,0.547982022,325.1502408,359.0463898,9.174860211,314.0968369,0.028217295,0.874808509,21.17042052,29.09680607,3.961945735,10.62272684,0.187145349,0.36508223,35217.93565,124372.9078,17690.44098,23884.79069,0.502313399,0.192041749,-10.31492796
2.346894941,7.185477462,2.697353329,-5.132445857,1.149328537,-0.71428042,-4.326228633,3.469649235,2.785833091,-8.243875989,0.643940329,-2.375996947,0.608813521,7.000790033,3.832575221,-7.228604621,6.295154572,-1.032541268,7.266229628,9.531073315,1.233671255,3.64056156,0.169781485,0.381967638,325.0243865,346.1716665,10.29531514,302.959482,0.031675516,0.875171227,21.12782097,37.11508973,5.404550047,12.56875872,0.255802529,0.338642822,34940.6228,122390.7439,11623.24281,19041.32666,0.332657001,0.155578159,-12.42866188
0.350773202,3.36230813,1.77519025,-4.380807166,5.060792098,-1.302916626,0.716910605,8.568123013,5.933140108,-8.089638327,8.275983174,-0.94415525,0.691204277,9.189886124,3.270458231,-11.21899686,4.731536446,-1.220798246,6.84542551,11.77916071,1.817763626,0.851421166,0.265544285,0.072281989,350.6889497,379.5660944,10.55556935,332.0279335,0.030099521,0.874756567,24.84059608,52.61914987,10.83008424,10.65155471,0.435983267,0.202427343,35795.55083,57951.34345,9203.256324,21042.06068,0.257106152,0.363098755,-15.1436988
-2.649892597,-0.333884529,0.711828921,-4.349823824,0.268625574,13.02792864,3.067179294,4.895325955,1.742408173,-2.218729319,0.568081617,-0.453234236,2.096914736,5.15484807,1.87867664,-1.072028388,0.895924192,-0.207965079,5.275733642,5.786046334,0.255574084,4.085615837,0.048443326,0.706115299,363.7430586,374.8932109,2.920413838,350.7376442,0.008028782,0.935566807,6.205193532,6.749052265,0.267656179,4.692838487,0.043134219,0.69533296,47234.91797,60858.17654,7998.475281,22151.35234,0.169333951,0.363983175,-10.84649222
-0.208243843,3.841657103,2.067054973,-3.814925491,9.926127669,-0.993041645,-1.138260267,6.680191207,4.020652538,-7.61367221,3.532278736,-1.139738665,-0.270012477,5.818908543,3.40766019,-6.993568538,12.62038046,-1.201869472,5.590087928,8.262487487,1.487728705,1.55963896,0.266136906,0.188761431,340.112824,353.3979808,6.464286176,328.5149103,0.019006299,0.929589098,18.7744241,26.24969603,3.528949824,13.19919348,0.18796581,0.502832241,34837.25723,45478.20041,6708.359752,18706.45759,0.192562799,0.411328008,-11.14932188
1.522479601,4.080749943,1.388664756,-0.988056021,0.912107298,-0.242126088,-0.838250076,5.53581769,3.212242605,-6.087703661,3.832081498,-1.099693668,1.8880786,5.387997071,1.638596826,-1.593733417,0.86786473,-0.295793297,4.345074929,7.153596743,1.624088638,1.388948414,0.3737769,0.194160849,405.269047,416.8681392,9.654696293,385.892448,0.02382293,0.92569427,9.360012604,12.76530902,1.578994203,5.008825526,0.168695735,0.39237793,51233.18497,77132.5946,16382.01264,20414.76603,0.319753938,0.264671066,-8.127567871
-3.771267431,0.623571071,2.115637259,-7.34226576,0.560988394,-11.7745452,4.979850685,7.037775748,1.123455733,1.435830199,0.225600285,0.204017612,-2.28357482,4.776567465,3.063286756,-7.633554438,1.341443568,-1.598125535,7.643496715,8.662993021,0.96687246,5.021549652,0.126496091,0.579655281,358.885955,374.862712,8.103750673,341.8098936,0.022580295,0.911826871,12.55487461,18.92498521,2.517631825,8.955085982,0.200530225,0.473188533,37648.99333,55914.68371,5529.288104,29259.57724,0.146864169,0.523289685,-4.450093701
-0.580713041,3.92797803,1.693012956,-4.745783061,2.915403712,-1.208200001,0.290610528,8.243731438,4.131126841,-5.922846148,14.21533784,-0.718466655,2.984470008,9.090401757,4.396070878,-7.614122625,1.472982093,-0.837600233,6.752250138,10.35328474,1.730260796,2.07028671,0.256249511,0.19996424,360.8400635,376.0225488,7.12739979,343.0235933,0.019752241,0.912242083,17.76297009,28.22511259,3.586529553,10.63008358,0.201910465,0.376617934,39352.36767,112967.6402,13881.75063,15353.0196,0.352755157,0.13590635,-8.687472958
-3.650507665,6.298338202,3.516895742,-10.84290306,0.963399084,-1.721549829,2.0538505,12.37568585,6.093274896,-12.94717733,2.96675678,-1.04617857,-3.468491629,9.886834441,7.259666443,-14.89715791,2.093032713,-1.506767206,11.04486568,15.23582404,3.128129789,2.292784407,0.283220265,0.150486406,501.4911623,580.007151,42.47849301,400.5544157,0.08470437,0.690602547,8.215246195,26.26863897,4.74065468,3.719641523,0.577055704,0.141600085,254637.9659,500066.9372,94314.84552,59461.18709,0.370387995,0.118906456,-5.21108546
